timestamp,equipment_id,power_kw,operational_state,ambient_temp_c,shift
2024-01-01 00:00:00,CNC-001,3.3,STANDBY,17.6,Night
2024-01-01 00:00:00,CNC-002,3.53,STANDBY,16.3,Night
2024-01-01 00:00:00,PRESS-001,33.79,IDLE,16.1,Night
2024-01-01 00:00:00,PRESS-002,37.53,IDLE,17.3,Night
2024-01-01 00:00:00,ROBOT-001,1.76,STANDBY,17.4,Night
2024-01-01 00:00:00,ROBOT-002,2.08,STANDBY,16.1,Night
2024-01-01 00:00:00,CONVEYOR-001,1.24,STANDBY,18.2,Night
2024-01-01 00:00:00,OVEN-001,9.06,STANDBY,17.6,Night
2024-01-01 01:00:00,CNC-001,3.57,STANDBY,16.9,Night
2024-01-01 01:00:00,CNC-002,3.5,STANDBY,17.7,Night
2024-01-01 01:00:00,PRESS-001,6.75,STANDBY,16.5,Night
2024-01-01 01:00:00,PRESS-002,5.66,STANDBY,18.8,Night
2024-01-01 01:00:00,ROBOT-001,1.87,STANDBY,18.3,Night
2024-01-01 01:00:00,ROBOT-002,2.0,STANDBY,17.7,Night
2024-01-01 01:00:00,CONVEYOR-001,1.29,STANDBY,17.9,Night
2024-01-01 01:00:00,OVEN-001,8.54,STANDBY,16.6,Night
2024-01-01 02:00:00,CNC-001,3.48,STANDBY,18.1,Night
2024-01-01 02:00:00,CNC-002,19.29,IDLE,16.6,Night
2024-01-01 02:00:00,PRESS-001,6.27,STANDBY,18.8,Night
2024-01-01 02:00:00,PRESS-002,7.11,STANDBY,19.7,Night
2024-01-01 02:00:00,ROBOT-001,1.96,STANDBY,18.1,Night
2024-01-01 02:00:00,ROBOT-002,2.12,STANDBY,17.7,Night
2024-01-01 02:00:00,CONVEYOR-001,1.14,STANDBY,17.8,Night
2024-01-01 02:00:00,OVEN-001,9.47,STANDBY,17.2,Night
2024-01-01 03:00:00,CNC-001,3.54,STANDBY,18.5,Night
2024-01-01 03:00:00,CNC-002,17.94,IDLE,17.2,Night
2024-01-01 03:00:00,PRESS-001,6.05,STANDBY,17.7,Night
2024-01-01 03:00:00,PRESS-002,6.01,STANDBY,18.8,Night
2024-01-01 03:00:00,ROBOT-001,1.92,STANDBY,18.8,Night
2024-01-01 03:00:00,ROBOT-002,2.0,STANDBY,17.5,Night
2024-01-01 03:00:00,CONVEYOR-001,1.18,STANDBY,17.6,Night
2024-01-01 03:00:00,OVEN-001,54.84,IDLE,16.9,Night
2024-01-01 04:00:00,CNC-001,3.58,STANDBY,19.7,Night
2024-01-01 04:00:00,CNC-002,3.75,STANDBY,20.3,Night
2024-01-01 04:00:00,PRESS-001,6.67,STANDBY,19.5,Night
2024-01-01 04:00:00,PRESS-002,6.35,STANDBY,20.1,Night
2024-01-01 04:00:00,ROBOT-001,10.75,IDLE,20.8,Night
2024-01-01 04:00:00,ROBOT-002,1.97,STANDBY,19.9,Night
2024-01-01 04:00:00,CONVEYOR-001,1.16,STANDBY,21.1,Night
2024-01-01 04:00:00,OVEN-001,9.58,STANDBY,19.8,Night
2024-01-01 05:00:00,CNC-001,3.25,STANDBY,21.2,Night
2024-01-01 05:00:00,CNC-002,3.55,STANDBY,20.1,Night
2024-01-01 05:00:00,PRESS-001,5.97,STANDBY,20.2,Night
2024-01-01 05:00:00,PRESS-002,6.61,STANDBY,21.5,Night
2024-01-01 05:00:00,ROBOT-001,1.93,STANDBY,19.8,Night
2024-01-01 05:00:00,ROBOT-002,1.86,STANDBY,20.0,Night
2024-01-01 05:00:00,CONVEYOR-001,1.21,STANDBY,19.4,Night
2024-01-01 05:00:00,OVEN-001,9.72,STANDBY,19.9,Night
2024-01-01 06:00:00,CNC-001,49.37,RUNNING,22.0,Day
2024-01-01 06:00:00,CNC-002,42.11,RUNNING,23.0,Day
2024-01-01 06:00:00,PRESS-001,28.37,IDLE,22.2,Day
2024-01-01 06:00:00,PRESS-002,80.55,RUNNING,22.2,Day
2024-01-01 06:00:00,ROBOT-001,26.79,RUNNING,22.1,Day
2024-01-01 06:00:00,ROBOT-002,21.95,RUNNING,23.3,Day
2024-01-01 06:00:00,CONVEYOR-001,5.18,IDLE,23.2,Day
2024-01-01 06:00:00,OVEN-001,106.89,RUNNING,22.6,Day
2024-01-01 07:00:00,CNC-001,49.78,RUNNING,23.8,Day
2024-01-01 07:00:00,CNC-002,47.46,RUNNING,21.7,Day
2024-01-01 07:00:00,PRESS-001,75.2,RUNNING,21.0,Day
2024-01-01 07:00:00,PRESS-002,76.91,RUNNING,23.1,Day
2024-01-01 07:00:00,ROBOT-001,24.38,RUNNING,23.7,Day
2024-01-01 07:00:00,ROBOT-002,26.29,RUNNING,23.5,Day
2024-01-01 07:00:00,CONVEYOR-001,13.37,RUNNING,23.2,Day
2024-01-01 07:00:00,OVEN-001,104.92,RUNNING,22.8,Day
2024-01-01 08:00:00,CNC-001,44.71,RUNNING,23.3,Day
2024-01-01 08:00:00,CNC-002,44.02,RUNNING,25.2,Day
2024-01-01 08:00:00,PRESS-001,78.46,RUNNING,24.9,Day
2024-01-01 08:00:00,PRESS-002,92.38,RUNNING,23.9,Day
2024-01-01 08:00:00,ROBOT-001,27.35,RUNNING,25.8,Day
2024-01-01 08:00:00,ROBOT-002,25.93,RUNNING,25.7,Day
2024-01-01 08:00:00,CONVEYOR-001,14.07,RUNNING,23.7,Day
2024-01-01 08:00:00,OVEN-001,128.57,RUNNING,24.9,Day
2024-01-01 09:00:00,CNC-001,42.71,RUNNING,23.8,Day
2024-01-01 09:00:00,CNC-002,48.86,RUNNING,26.9,Day
2024-01-01 09:00:00,PRESS-001,25.44,IDLE,24.4,Day
2024-01-01 09:00:00,PRESS-002,25.78,IDLE,24.3,Day
2024-01-01 09:00:00,ROBOT-001,24.39,RUNNING,26.1,Day
2024-01-01 09:00:00,ROBOT-002,8.47,IDLE,26.5,Day
2024-01-01 09:00:00,CONVEYOR-001,15.73,RUNNING,27.3,Day
2024-01-01 09:00:00,OVEN-001,107.86,RUNNING,26.5,Day
2024-01-01 10:00:00,CNC-001,43.17,RUNNING,27.0,Day
2024-01-01 10:00:00,CNC-002,49.39,RUNNING,26.6,Day
2024-01-01 10:00:00,PRESS-001,87.35,RUNNING,25.7,Day
2024-01-01 10:00:00,PRESS-002,80.62,RUNNING,27.1,Day
2024-01-01 10:00:00,ROBOT-001,23.83,RUNNING,25.6,Day
2024-01-01 10:00:00,ROBOT-002,20.43,RUNNING,26.1,Day
2024-01-01 10:00:00,CONVEYOR-001,14.95,RUNNING,26.6,Day
2024-01-01 10:00:00,OVEN-001,110.65,RUNNING,27.0,Day
2024-01-01 11:00:00,CNC-001,35.98,RUNNING,28.4,Day
2024-01-01 11:00:00,CNC-002,39.66,RUNNING,26.6,Day
2024-01-01 11:00:00,PRESS-001,76.87,RUNNING,25.8,Day
2024-01-01 11:00:00,PRESS-002,74.52,RUNNING,26.5,Day
2024-01-01 11:00:00,ROBOT-001,23.55,RUNNING,26.4,Day
2024-01-01 11:00:00,ROBOT-002,24.17,RUNNING,29.4,Day
2024-01-01 11:00:00,CONVEYOR-001,15.54,RUNNING,26.0,Day
2024-01-01 11:00:00,OVEN-001,110.7,RUNNING,27.6,Day
2024-01-01 12:00:00,CNC-001,15.49,IDLE,28.2,Day
2024-01-01 12:00:00,CNC-002,49.8,RUNNING,27.5,Day
2024-01-01 12:00:00,PRESS-001,77.87,RUNNING,28.2,Day
2024-01-01 12:00:00,PRESS-002,27.77,IDLE,28.4,Day
2024-01-01 12:00:00,ROBOT-001,9.34,IDLE,26.6,Day
2024-01-01 12:00:00,ROBOT-002,8.64,IDLE,26.6,Day
2024-01-01 12:00:00,CONVEYOR-001,16.5,RUNNING,26.3,Day
2024-01-01 12:00:00,OVEN-001,112.25,RUNNING,26.4,Day
2024-01-01 13:00:00,CNC-001,44.95,RUNNING,28.9,Day
2024-01-01 13:00:00,CNC-002,42.14,RUNNING,27.7,Day
2024-01-01 13:00:00,PRESS-001,86.63,RUNNING,27.9,Day
2024-01-01 13:00:00,PRESS-002,75.47,RUNNING,25.0,Day
2024-01-01 13:00:00,ROBOT-001,22.67,RUNNING,28.0,Day
2024-01-01 13:00:00,ROBOT-002,25.66,RUNNING,27.6,Day
2024-01-01 13:00:00,CONVEYOR-001,16.27,RUNNING,26.1,Day
2024-01-01 13:00:00,OVEN-001,127.54,RUNNING,26.9,Day
2024-01-01 14:00:00,CNC-001,36.71,RUNNING,27.9,Evening
2024-01-01 14:00:00,CNC-002,43.18,RUNNING,26.3,Evening
2024-01-01 14:00:00,PRESS-001,71.89,RUNNING,26.2,Evening
2024-01-01 14:00:00,PRESS-002,65.9,RUNNING,27.5,Evening
2024-01-01 14:00:00,ROBOT-001,23.83,RUNNING,25.5,Evening
2024-01-01 14:00:00,ROBOT-002,20.14,RUNNING,26.6,Evening
2024-01-01 14:00:00,CONVEYOR-001,16.14,RUNNING,26.1,Evening
2024-01-01 14:00:00,OVEN-001,130.18,RUNNING,26.0,Evening
2024-01-01 15:00:00,CNC-001,38.17,RUNNING,25.5,Evening
2024-01-01 15:00:00,CNC-002,15.93,IDLE,25.7,Evening
2024-01-01 15:00:00,PRESS-001,60.62,RUNNING,26.4,Evening
2024-01-01 15:00:00,PRESS-002,65.57,RUNNING,24.9,Evening
2024-01-01 15:00:00,ROBOT-001,24.44,RUNNING,25.6,Evening
2024-01-01 15:00:00,ROBOT-002,24.64,RUNNING,26.5,Evening
2024-01-01 15:00:00,CONVEYOR-001,15.23,RUNNING,24.3,Evening
2024-01-01 15:00:00,OVEN-001,114.09,RUNNING,24.9,Evening
2024-01-01 16:00:00,CNC-001,44.25,RUNNING,23.8,Evening
2024-01-01 16:00:00,CNC-002,42.04,RUNNING,27.6,Evening
2024-01-01 16:00:00,PRESS-001,26.83,IDLE,24.0,Evening
2024-01-01 16:00:00,PRESS-002,81.05,RUNNING,24.9,Evening
2024-01-01 16:00:00,ROBOT-001,9.23,IDLE,24.8,Evening
2024-01-01 16:00:00,ROBOT-002,25.65,RUNNING,23.4,Evening
2024-01-01 16:00:00,CONVEYOR-001,14.14,RUNNING,24.7,Evening
2024-01-01 16:00:00,OVEN-001,126.28,RUNNING,22.9,Evening
2024-01-01 17:00:00,CNC-001,40.53,RUNNING,22.1,Evening
2024-01-01 17:00:00,CNC-002,42.34,RUNNING,23.0,Evening
2024-01-01 17:00:00,PRESS-001,69.48,RUNNING,23.7,Evening
2024-01-01 17:00:00,PRESS-002,29.53,IDLE,23.3,Evening
2024-01-01 17:00:00,ROBOT-001,24.67,RUNNING,23.9,Evening
2024-01-01 17:00:00,ROBOT-002,21.56,RUNNING,22.8,Evening
2024-01-01 17:00:00,CONVEYOR-001,16.36,RUNNING,22.8,Evening
2024-01-01 17:00:00,OVEN-001,101.22,RUNNING,23.6,Evening
2024-01-01 18:00:00,CNC-001,42.97,RUNNING,23.0,Evening
2024-01-01 18:00:00,CNC-002,48.34,RUNNING,21.9,Evening
2024-01-01 18:00:00,PRESS-001,70.55,RUNNING,20.8,Evening
2024-01-01 18:00:00,PRESS-002,30.65,IDLE,23.6,Evening
2024-01-01 18:00:00,ROBOT-001,9.3,IDLE,22.4,Evening
2024-01-01 18:00:00,ROBOT-002,9.21,IDLE,21.8,Evening
2024-01-01 18:00:00,CONVEYOR-001,14.6,RUNNING,22.7,Evening
2024-01-01 18:00:00,OVEN-001,126.29,RUNNING,22.5,Evening
2024-01-01 19:00:00,CNC-001,50.01,RUNNING,20.9,Evening
2024-01-01 19:00:00,CNC-002,14.48,IDLE,21.4,Evening
2024-01-01 19:00:00,PRESS-001,74.58,RUNNING,20.7,Evening
2024-01-01 19:00:00,PRESS-002,80.49,RUNNING,19.1,Evening
2024-01-01 19:00:00,ROBOT-001,22.81,RUNNING,20.7,Evening
2024-01-01 19:00:00,ROBOT-002,26.79,RUNNING,19.9,Evening
2024-01-01 19:00:00,CONVEYOR-001,15.3,RUNNING,20.0,Evening
2024-01-01 19:00:00,OVEN-001,108.73,RUNNING,20.1,Evening
2024-01-01 20:00:00,CNC-001,42.97,RUNNING,19.5,Evening
2024-01-01 20:00:00,CNC-002,45.92,RUNNING,20.5,Evening
2024-01-01 20:00:00,PRESS-001,77.4,RUNNING,21.6,Evening
2024-01-01 20:00:00,PRESS-002,70.37,RUNNING,20.4,Evening
2024-01-01 20:00:00,ROBOT-001,8.61,IDLE,19.3,Evening
2024-01-01 20:00:00,ROBOT-002,25.44,RUNNING,20.2,Evening
2024-01-01 20:00:00,CONVEYOR-001,13.58,RUNNING,18.2,Evening
2024-01-01 20:00:00,OVEN-001,109.97,RUNNING,19.7,Evening
2024-01-01 21:00:00,CNC-001,44.7,RUNNING,18.1,Evening
2024-01-01 21:00:00,CNC-002,15.2,IDLE,19.4,Evening
2024-01-01 21:00:00,PRESS-001,74.71,RUNNING,19.2,Evening
2024-01-01 21:00:00,PRESS-002,76.02,RUNNING,19.5,Evening
2024-01-01 21:00:00,ROBOT-001,25.55,RUNNING,20.9,Evening
2024-01-01 21:00:00,ROBOT-002,27.06,RUNNING,18.4,Evening
2024-01-01 21:00:00,CONVEYOR-001,16.03,RUNNING,19.6,Evening
2024-01-01 21:00:00,OVEN-001,106.93,RUNNING,18.4,Evening
2024-01-01 22:00:00,CNC-001,15.38,IDLE,16.2,Night
2024-01-01 22:00:00,CNC-002,16.9,IDLE,17.9,Night
2024-01-01 22:00:00,PRESS-001,78.8,RUNNING,17.1,Night
2024-01-01 22:00:00,PRESS-002,63.99,RUNNING,16.6,Night
2024-01-01 22:00:00,ROBOT-001,25.49,RUNNING,18.3,Night
